title,score,number,link
OK Computer,9.0,(28730人评价),https://music.douban.com/subject/1400651/
Born to Die,8.9,(30924人评价),https://music.douban.com/subject/1395432/
,8.7,(32090人评价),https://music.douban.com/subject/3526294/
The Wall,8.3,(31875人评价),https://music.douban.com/subject/2150115/
我的歌声里,9.2,(31103人评价),https://music.douban.com/subject/5395505/
The Legend of 1900,9.4,(29561人评价),https://music.douban.com/subject/1415369/
,9.1,(31014人评价),https://music.douban.com/subject/1407472/
孤独的人是可耻的,8.2,(31801人评价),https://music.douban.com/subject/3746394/
徐佳瑩La La首张创作专辑,7.7,(33213人评价),https://music.douban.com/subject/2044199/
,9.1,(29356人评价),https://music.douban.com/subject/1422072/
The Best Damn Thing,9.4,(28003人评价),https://music.douban.com/subject/1394818/
知足 just my pride 最真杰作选,6.9,(39894人评价),https://music.douban.com/subject/3222423/
1,8.4,(30732人评价),https://music.douban.com/subject/1394600/
,8.3,(30630人评价),https://music.douban.com/subject/1394600/?auto_play=1#link-report
魔杰座,8.1,(30626人评价),https://music.douban.com/subject/2347182/
X&Y,9.0,(29269人评价),https://music.douban.com/subject/2267400/
19,9.0,(28605人评价),https://music.douban.com/subject/1408748/
我们在炎热与抑郁的夏天，无法停止抽烟,8.7,(28853人评价),https://music.douban.com/subject/1405022/
,8.6,(28156人评价),https://music.douban.com/subject/4706451/
时光机,8.0,(30811人评价),https://music.douban.com/subject/3143363/
,8.1,(29811人评价),https://music.douban.com/subject/6722110/
Yan Zi,9.4,(28480人评价),https://music.douban.com/subject/1891318/
,8.6,(28272人评价),https://music.douban.com/subject/1769327/
Time Flies,8.8,(27612人评价),https://music.douban.com/subject/6082657/
,8.9,(37807人评价),https://music.douban.com/subject/1394747/
失败者的飞翔,8.7,(29401人评价),https://music.douban.com/subject/25927970/
My Love,8.5,(27700人评价),https://music.douban.com/subject/2052256/
亲亲,8.7,(29426人评价),https://music.douban.com/subject/3533452/
,9.2,(28893人评价),https://music.douban.com/subject/11027027/
花的姿态：演唱会经典实录,9.2,(25291人评价),https://music.douban.com/subject/2078050/
,9.1,(29015人评价),https://music.douban.com/subject/1405324/
我去2000年,8.7,(27270人评价),https://music.douban.com/subject/1758337/
Young For You,8.9,(26241人评价),https://music.douban.com/subject/1405050/
自选集,9.5,(25726人评价),https://music.douban.com/subject/2266925/
,8.5,(26521人评价),https://music.douban.com/subject/2350942/
理性与感性 作品音乐会,9.2,(28725人评价),https://music.douban.com/subject/2299845/
,8.1,(29072人评价),https://music.douban.com/subject/4138573/
比天空还远,8.7,(31105人评价),https://music.douban.com/subject/2164654/
黑梦,8.2,(27581人评价),https://music.douban.com/subject/1427941/
介乎法國與旺角的詩意,8.5,(25598人评价),https://music.douban.com/subject/2153935/
,8.6,(29286人评价),https://music.douban.com/subject/1408794/
不能说的秘密,7.7,(27702人评价),https://music.douban.com/subject/4009831/
,8.2,(25967人评价),https://music.douban.com/subject/2042799/
丝路,8.6,(25445人评价),https://music.douban.com/subject/2264207/
,9.5,(27323人评价),https://music.douban.com/subject/6064884/
All The Lost Souls,8.8,(24642人评价),https://music.douban.com/subject/1875211/
,9.1,(28164人评价),https://music.douban.com/subject/1395685/
F.I.R.,9.1,(25300人评价),https://music.douban.com/subject/3837067/
上五楼的快活,9.5,(29957人评价),https://music.douban.com/subject/6974122/
Minutes to Midnight,8.8,(27298人评价),https://music.douban.com/subject/6047523/
GOODBYE & HELLO,7.9,(25701人评价),https://music.douban.com/subject/4884299/
Someone Like You,9.1,(24046人评价),https://music.douban.com/subject/1401759/
,8.7,(30816人评价),https://music.douban.com/subject/25709562/
迟到千年,9.2,(23496人评价),https://music.douban.com/subject/3035043/
Groupies 吉他手,9.1,(23700人评价),https://music.douban.com/subject/1394549/
,8.4,(24056人评价),https://music.douban.com/subject/1404703/
Now The Day Is Over,9.2,(25426人评价),https://music.douban.com/subject/1404703/?auto_play=1#link-report
,9.4,(23195人评价),https://music.douban.com/subject/2285727/
Apologize,7.0,(28680人评价),https://music.douban.com/subject/3815932/
阿菲正传,8.7,(23825人评价),https://music.douban.com/subject/4820650/
,8.8,(25369人评价),https://music.douban.com/subject/1949354/
跨时代,9.1,(23621人评价),https://music.douban.com/subject/1933017/
Leave,8.9,(23623人评价),https://music.douban.com/subject/1920622/
,9.0,(22774人评价),https://music.douban.com/subject/7065468/
被禁忌的游戏,8.2,(23955人评价),https://music.douban.com/subject/1407536/
What's Going On....?,8.3,(24136人评价),https://music.douban.com/subject/2032823/
第二人生 末日版,8.7,(23407人评价),https://music.douban.com/subject/2032823/?auto_play=1#link-report
,9.2,(25405人评价),https://music.douban.com/subject/3264192/
樂之路,8.2,(23707人评价),https://music.douban.com/subject/1408650/
,7.8,(24054人评价),https://music.douban.com/subject/1395176/
It Won't Be Soon Before Long,8.7,(22460人评价),https://music.douban.com/subject/1442576/
,9.1,(22175人评价),https://music.douban.com/subject/5355197/
如果你冷,8.5,(23288人评价),https://music.douban.com/subject/1999781/
,9.2,(22278人评价),https://music.douban.com/subject/3226297/
陌生人,8.6,(25764人评价),https://music.douban.com/subject/3770091/
浮躁,8.2,(22643人评价),https://music.douban.com/subject/2977909/
C'est La Vie,8.7,(21705人评价),https://music.douban.com/subject/2977909/?auto_play=1#link-report
,8.1,(22987人评价),https://music.douban.com/subject/4060882/
在一起,8.4,(22090人评价),https://music.douban.com/subject/2144752/
Yellow,9.3,(25897人评价),https://music.douban.com/subject/1458367/
,8.9,(21237人评价),https://music.douban.com/subject/1395452/
Hopes And Fears,9.3,(22099人评价),https://music.douban.com/subject/1394541/
U87,8.8,(20942人评价),https://music.douban.com/subject/1419566/
Lady Sleep,9.5,(21552人评价),https://music.douban.com/subject/1419566/?auto_play=1#link-report
天空の城ラピュタ サウンドトラック 飛行石の謎,9.2,(23207人评价),https://music.douban.com/subject/1395762/
,7.9,(22147人评价),https://music.douban.com/subject/1395762/?auto_play=1#link-report
新长征路上的摇滚,8.8,(21685人评价),https://music.douban.com/subject/1394742/
小飞行,9.0,(20959人评价),https://music.douban.com/subject/3567851/
春生,8.3,(21622人评价),https://music.douban.com/subject/10831759/
讓我想一想,8.6,(21305人评价),https://music.douban.com/subject/1788941/
,9.0,(21733人评价),https://music.douban.com/subject/2359692/
未来,7.8,(21809人评价),https://music.douban.com/subject/1950025/
,9.2,(20187人评价),https://music.douban.com/subject/10430415/
爱爱爱,8.6,(21690人评价),https://music.douban.com/subject/4032611/
,9.0,(22470人评价),https://music.douban.com/subject/1416697/
世界,9.3,(22115人评价),https://music.douban.com/subject/1416697/?auto_play=1#link-report
,9.3,(21532人评价),https://music.douban.com/subject/1455695/
七天,9.2,(19422人评价),https://music.douban.com/subject/1986653/
,9.2,(21130人评价),https://music.douban.com/subject/5322559/
Nirvana,8.7,(20132人评价),https://music.douban.com/subject/1776070/
A Rush of  Blood to the Head,9.0,(19835人评价),https://music.douban.com/subject/3788747/
,8.5,(20359人评价),https://music.douban.com/subject/1395617/
The Velvet Underground & Nico,9.1,(21179人评价),https://music.douban.com/subject/1982538/
,8.8,(20686人评价),https://music.douban.com/subject/1421569/
恋爱的力量,8.9,(20044人评价),https://music.douban.com/subject/1403802/
Suede,8.9,(20753人评价),https://music.douban.com/subject/1394569/
The Bends,9.1,(21493人评价),https://music.douban.com/subject/1394569/?auto_play=1#link-report
琵琶相,9.3,(19639人评价),https://music.douban.com/subject/1394652/
,8.0,(21595人评价),https://music.douban.com/subject/1462686/
？,8.0,(20860人评价),https://music.douban.com/subject/6903119/
,8.8,(19671人评价),https://music.douban.com/subject/2154228/
少年故事,8.7,(19867人评价),https://music.douban.com/subject/1923738/
黑暗之光,9.2,(20326人评价),https://music.douban.com/subject/1419831/
我要我们在一起,8.4,(19860人评价),https://music.douban.com/subject/1419375/
人生海海,9.0,(20082人评价),https://music.douban.com/subject/3021469/
Maybe I'm Dreaming,9.3,(19851人评价),https://music.douban.com/subject/3435496/
,8.3,(19567人评价),https://music.douban.com/subject/1401365/
工体东路没有人,7.9,(21316人评价),https://music.douban.com/subject/1401365/?auto_play=1#link-report
Let It Be,7.6,(22205人评价),https://music.douban.com/subject/1796484/
"Alright,Still",8.0,(21314人评价),https://music.douban.com/subject/10767657/
大小說家,7.6,(20809人评价),https://music.douban.com/subject/3013779/
,9.2,(19874人评价),https://music.douban.com/subject/1403801/
越长大越孤单,8.3,(19083人评价),https://music.douban.com/subject/3729307/
燕尾蝶,9.2,(18402人评价),https://music.douban.com/subject/5365287/
,7.7,(19414人评价),https://music.douban.com/subject/3158576/
原谅我就是这样的女生,9.2,(20783人评价),https://music.douban.com/subject/2083053/
,8.7,(19087人评价),https://music.douban.com/subject/11524982/
传奇,8.7,(19379人评价),https://music.douban.com/subject/1394693/
Under the Radar,8.5,(19516人评价),https://music.douban.com/subject/3843530/
Back To Black,8.5,(19561人评价),https://music.douban.com/subject/1937036/
Demo 3,9.1,(18071人评价),https://music.douban.com/subject/5292091/
克卜勒,8.4,(20679人评价),https://music.douban.com/subject/25811077/
,8.5,(18976人评价),https://music.douban.com/subject/3005450/
E=MC²,9.4,(17529人评价),https://music.douban.com/subject/2286005/
,8.2,(18824人评价),https://music.douban.com/subject/3579420/
9 Crimes,8.8,(19315人评价),https://music.douban.com/subject/1404457/
如果有一件事是重要的,9.0,(17837人评价),https://music.douban.com/subject/1410613/
,9.1,(17039人评价),https://music.douban.com/subject/1408372/
赤裸裸,9.2,(18107人评价),https://music.douban.com/subject/3807272/
,8.2,(22511人评价),https://music.douban.com/subject/6540851/
阿岳正传,9.0,(17912人评价),https://music.douban.com/subject/7065469/
,9.0,(18811人评价),https://music.douban.com/subject/1395280/
3颗猫饼干,9.1,(18807人评价),https://music.douban.com/subject/1395280/?auto_play=1#link-report
,7.7,(19890人评价),https://music.douban.com/subject/1397751/
21 Guns,7.1,(21047人评价),https://music.douban.com/subject/5325161/
看我72变,8.7,(18943人评价),https://music.douban.com/subject/3323600/
第二人生 明日版,8.0,(18766人评价),https://music.douban.com/subject/4010504/
,8.1,(18238人评价),https://music.douban.com/subject/3767208/
Definitely Maybe,9.3,(17833人评价),https://music.douban.com/subject/3313756/
,7.7,(19688人评价),https://music.douban.com/subject/1438249/
First Love,8.7,(18935人评价),https://music.douban.com/subject/3803120/
,9.0,(17990人评价),https://music.douban.com/subject/3313848/
阿密特,8.5,(19970人评价),https://music.douban.com/subject/1395143/
,7.7,(21475人评价),https://music.douban.com/subject/1407700/
